doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
shopee-buyer-return-refund-request,data/ecommerce/shopee/shopee-buyer-return-refund-request.md,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,https://help.shopee.vn/portal/4/article/79233,2026-09-20,not-stated,public-source
shopee-dispute-resolution,data/ecommerce/shopee/shopee-dispute-resolution.md,Quy trình giải quyết tranh chấp khiếu nại,https://help.shopee.vn/portal/4/article/77265,2026-09-20,2024-03-15,public-source
shopee-mall-terms,data/ecommerce/shopee/shopee-mall-terms.md,Điều khoản dịch vụ Shopee Mall,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
shopee-operating-regulations,data/ecommerce/shopee/shopee-operating-regulations.md,Quy chế hoạt động Sàn Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
shopee-product-listing-rules,data/ecommerce/shopee/shopee-product-listing-rules.md,Quy định đăng bán sản phẩm,https://help.shopee.vn/portal/4/article/77246,2026-09-20,not-stated,public-source
shopee-refund-timeline,data/ecommerce/shopee/shopee-refund-timeline.md,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,https://help.shopee.vn/portal/4/article/189473,2026-09-20,not-stated,public-source
shopee-return-refund-policy,data/ecommerce/shopee/shopee-return-refund-policy.md,Chính sách trả hàng và hoàn tiền,https://help.shopee.vn/portal/4/article/77251,2026-09-20,2026-03-11,public-source
shopee-return-shipping-fees,data/ecommerce/shopee/shopee-return-shipping-fees.md,Các phương thức gửi hàng hoàn trả và phí hoàn trả,https://help.shopee.vn/portal/4/article/189477,2026-09-20,not-stated,public-source
shopee-seller-fraud-policy,data/ecommerce/shopee/shopee-seller-fraud-policy.md,Chính sách chống gian lận của Người bán,https://help.shopee.vn/portal/4/article/140097,2026-09-20,2023-12-28,public-source
shopee-shipping-policy,data/ecommerce/shopee/shopee-shipping-policy.md,Chính sách vận chuyển Shopee,https://help.shopee.vn/portal/4/article/77250,2026-09-20,not-stated,public-source
