url,doc_id,title,audience,category,language,document_version,license_or_permission
https://help.shopee.vn/portal/4/article/79233,shopee-buyer-return-refund-request,Hướng dẫn gửi yêu cầu trả hàng hoàn tiền,buyer,buyer-return-procedure,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77265,shopee-dispute-resolution,Quy trình giải quyết tranh chấp/khiếu nại,both,dispute-resolution,vi,2024-03-15,public-source
https://help.shopee.vn/portal/4/article/77262,shopee-mall-terms,Điều khoản dịch vụ Shopee Mall,both,mall-returns-warranty,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77245,shopee-platform-warranty-rules,Quy chế hoạt động sàn thương mại điện tử Shopee.vn,both,marketplace-regulations,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77246,shopee-product-listing-rules,Quy định về đăng bán sản phẩm trên Shopee,seller,seller-rules,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/189473,shopee-refund-timeline,Thời gian nhận tiền hoàn và cách kiểm tra tiền hoàn,buyer,refund-timeline,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/77251,shopee-return-refund-policy,Chính sách trả hàng và hoàn tiền,both,returns-refunds,vi,2026-03-11,public-source
https://help.shopee.vn/portal/4/article/189477,shopee-return-shipping-fees,Các phương thức gửi hàng hoàn trả và phí hoàn trả,buyer,return-shipping-fees,vi,not-stated,public-source
https://help.shopee.vn/portal/4/article/140097,shopee-seller-fraud-policy,Chính sách chống gian lận của Người bán,seller,seller-violations,vi,2023-12-28,public-source
https://help.shopee.vn/portal/4/article/77250,shopee-shipping-policy,Chính sách vận chuyển Shopee,both,shipping-policy,vi,not-stated,public-source
